node_label,is_feature_based,graph_type,parameter,laplacian_type,number_of_eigenvectors,use_kmean_for_silhouette,silhouette_score,rand_index,total_time,affinity_time,laplacian_time,clustering_time,adjusted_rand_index_time,memory_used,cpu_used
iris_33,True,full,5,sym,3,False,0.5184585509400378,0.7741935483870968,3900.860208,844.895542,412.481125,2358.865917,231.013708,-47.398912,22.200000000000003
iris_33,True,full,5,rw,3,False,0.5184585509400378,0.5806451612903226,2576.71525,355.289167,258.138375,1719.041417,223.674209,19.33312,12.2
iris_33,True,full,5,ad,3,False,0.5094215469926578,0.6656318716854224,2502.291459,210.829042,222.060334,1810.131583,242.998333,57.229312,14.8
iris_33,True,eps,1.138,sym,3,False,0.27071051166988747,0.1529423479040128,2280.637125,164.361291,215.24875,1656.304875,230.409041,-48.971776,12.4
iris_33,True,eps,1.138,rw,3,False,0.27071051166988747,0.1529423479040128,2207.293416,168.393333,178.655541,1622.620292,223.920917,63.619072,14.0
iris_33,True,eps,1.138,ad,3,False,0.44615159242538754,0.6184005721256993,2206.57875,166.9995,194.786958,1592.061959,234.832917,-86.310912,10.15
iris_33,True,knn,8,sym,3,False,0.4813444036156274,0.6900050735667174,1935.319667,90.808625,108.210417,1490.024417,231.632875,1.294336,12.5
iris_33,True,knn,8,rw,3,False,0.4813444036156276,0.6900050735667174,1950.092208,94.899708,118.943084,1489.679667,233.120583,-9.715712,9.95
iris_33,True,knn,8,ad,3,False,0.4813444036156274,0.45154743784880774,1972.808375,97.561125,107.985291,1527.092208,222.983958,9.568256,11.0
iris_33,True,mknn,6,sym,3,False,0.632815648926268,0.5607476635514019,2006.850959,86.655542,96.16675,1588.890125,223.371,32.68608,9.95
iris_33,True,mknn,6,rw,3,False,1.0,0.0,1858.080167,87.061958,111.102458,1425.09275,217.812583,-6.488064,60.1
iris_33,True,mknn,6,ad,3,False,0.2648682964532796,0.5835723151992467,1904.526875,75.578416,84.350292,1504.555125,227.987834,108.724224,11.3
iris_66,True,full,5,sym,3,False,0.4762700219956756,0.5992123598909421,4298.927333,614.551958,854.972792,2573.051584,237.667458,-238.764032,11.1
iris_66,True,full,5,rw,3,False,0.494114129775835,0.9695393119805663,3963.683458,625.597917,600.416083,2503.38775,222.740167,19.49696,11.2
iris_66,True,full,5,ad,3,False,0.4456426254972346,0.8023496428809826,4008.305958,607.730834,508.321583,2634.832042,239.881583,215.810048,12.35
iris_66,True,eps,0.904,sym,3,False,0.27763054316929225,0.46166891860410936,3601.600833,153.138625,717.266375,2484.820709,222.756833,-46.006272,14.2
iris_66,True,eps,0.904,rw,3,False,0.31090066355501256,0.41335741710613505,3643.279666,474.125958,669.08525,2258.803542,221.964916,-1.6384,10.75
iris_66,True,eps,0.904,ad,3,False,0.26349889786291825,0.6796190760448826,3464.432333,464.186541,457.198875,2299.644083,227.562584,19.2512,9.6
iris_66,True,knn,16,sym,3,False,0.4831632661866875,0.9395472499306626,3182.359084,167.303583,256.4885,2517.254,222.152542,-161.792,9.35
iris_66,True,knn,16,rw,3,False,0.4841586119158592,0.9400451191067946,3158.214417,178.5875,298.065625,2445.223291,217.326458,57.163776,10.9
iris_66,True,knn,16,ad,3,False,0.12346055761918086,0.5663716814159292,3100.583459,172.820708,244.73175,2428.527958,237.04575,38.469632,13.7
iris_66,True,mknn,15,sym,3,False,0.4956357884103084,0.7756067775912073,2993.389667,133.1545,193.541042,2412.400291,237.40975,-21.364736,9.05
iris_66,True,mknn,15,rw,3,False,0.49563578841030853,0.7756067775912073,2862.082375,154.739125,206.955125,2256.235875,231.096042,17.547264,10.95
iris_66,True,mknn,15,ad,3,False,0.40525791346691065,0.4731182795698925,3218.311959,145.043375,188.003333,2642.914875,223.201375,98.500608,20.15
iris_full,True,full,11,sym,3,False,0.5055000468668748,0.6049917558436521,5787.621958,270.936417,2012.98,3262.041542,223.80025,-94.69952,12.05
iris_full,True,full,11,rw,3,False,0.5055000468668746,0.6049917558436521,5684.68925,353.466417,1766.695708,3321.609792,224.061792,3.93216,10.45
iris_full,True,full,11,ad,3,False,0.4674163337981365,0.8657170470718251,7967.557958,1978.790959,2018.582125,3723.571125,235.608125,88.162304,12.15
iris_full,True,eps,1.111,sym,3,False,0.08979073440622296,0.23236809379996445,7494.01325,1636.5255,3028.461666,2578.656875,234.460084,-152.928256,9.35
iris_full,True,eps,1.111,rw,3,False,0.09064915197678027,0.4371901335255154,7265.950583,1697.81725,2629.861042,2692.428875,225.462042,18.317312,10.25
iris_full,True,eps,1.111,ad,3,False,0.08860292515004639,0.244822463662579,6525.986083,1694.721167,1932.09325,2651.788166,228.519458,64.864256,11.4
iris_full,True,knn,10,sym,3,False,0.47514077006743427,0.97993200471804,4352.187375,217.243292,408.358208,3486.507958,221.839208,1.114112,11.0
iris_full,True,knn,10,rw,3,False,0.47514077006743427,0.96006671645913,4206.877166,224.689459,424.66725,3305.724375,232.918959,-3.293184,12.1
iris_full,True,knn,10,ad,3,False,0.47514077006743444,0.96006671645913,4602.070959,246.330958,416.347708,3692.218209,230.736917,37.552128,12.65
iris_full,True,mknn,30,sym,3,False,0.506643901136835,0.5806226037796237,4811.909084,368.725375,768.241958,3420.594375,237.821,90.177536,12.0
iris_full,True,mknn,30,rw,3,False,0.5068956113209233,0.7591987071071522,4543.571,397.076375,762.147958,3147.043459,223.550833,-100.27008,13.85
iris_full,True,mknn,30,ad,3,False,0.4785185390329821,0.9406150828466999,4938.301167,391.423625,746.049084,3543.322333,238.980375,-3.178496,10.6
