node_label,is_feature_based,graph_type,parameter,laplacian_type,number_of_eigenvectors,use_kmean_for_silhouette,silhouette_score,rand_index,duration,memory_used,cpu_used
iris_full,True,full,11,sym,3,False,0.5055000468668748,0.7880443567941549,99.7205159664154,-96.421875,0.02040614399999985
iris_full,True,full,11,rw,3,False,0.5066439011368349,0.7733799163281198,131.64908695220947,2.4375,0.021565567999999757
iris_full,True,full,11,ad,3,False,0.46741633379813646,0.902984110931228,124.26976013183594,-4.609375,0.01942054399999993
iris_full,True,eps,1.161,sym,3,False,0.24610813069114512,0.0857719629832714,114.5362617969513,-1.3125,0.016642048000000464
iris_full,True,eps,1.161,rw,3,False,0.24610813069114512,0.0857719629832714,117.9033043384552,0.078125,0.016045312000000145
iris_full,True,eps,1.161,ad,3,False,0.24610813069114512,0.0857719629832714,114.82495093345642,-2.375,0.017671808000000233
iris_full,True,knn,28,sym,3,False,0.4825615156230673,0.97993200471804,27.075402975082397,1.328125,0.009441536000000195
iris_full,True,knn,28,rw,3,False,0.48256151562306693,0.97993200471804,26.35999822616577,-0.0625,0.007856384000000105
iris_full,True,knn,28,ad,3,False,0.4795415470996706,0.9410449800736683,19.785783052444458,0.046875,0.006569471999999799
iris_full,True,mknn,29,sym,3,False,0.5016677928719064,0.7880443567941549,17.559768199920654,0.03125,0.006171008000000366
iris_full,True,mknn,29,rw,3,False,0.5068956113209233,0.7591987071071522,21.70971703529358,0.046875,0.006867584000000093
iris_full,True,mknn,29,ad,3,False,0.4666323413657618,0.902984110931228,18.25127100944519,0.046875,0.006728320000000121
iris_3rd,True,full,9,sym,3,False,0.4845828251971418,0.8801138918027873,11.626926898956299,0.375,0.006385536000000247
iris_3rd,True,full,9,rw,3,False,0.48927560207927245,0.9399759903961584,12.198868989944458,-0.125,0.006275456000000013
iris_3rd,True,full,9,ad,3,False,0.4892848069796095,0.8243909729487371,14.891269207000732,0.015625,0.005725695999999836
iris_3rd,True,eps,1.141,sym,3,False,0.2811450498904265,0.1683599419448476,12.919103145599365,0.0,0.006234112000000014
iris_3rd,True,eps,1.141,rw,3,False,0.28114504989042644,0.1683599419448476,12.945438146591187,0.0,0.006941824000000096
iris_3rd,True,eps,1.141,ad,3,False,0.2811450498904265,0.19738751814223512,12.390305995941162,0.015625,0.0065976320000000754
iris_3rd,True,knn,20,sym,3,False,0.484473583165178,0.724251006111194,7.190363168716431,0.03125,0.005766399999999727
iris_3rd,True,knn,20,rw,3,False,0.488988295047904,0.7236851865588606,7.2740159034729,0.015625,0.005114240000000159
iris_3rd,True,knn,20,ad,3,False,0.48447358316517813,0.6758086152928902,7.322434186935425,0.015625,0.006551808000000214
iris_3rd,True,mknn,24,sym,3,False,0.48655569541842086,0.9399759903961584,6.66538405418396,0.015625,0.005213567999999835
iris_3rd,True,mknn,24,rw,3,False,0.4866153704196907,0.879951980792317,6.783576250076294,0.0,0.0058406399999997305
iris_3rd,True,mknn,24,ad,3,False,0.484582825197142,0.8838603326839503,6.485650062561035,0.046875,0.006278015999999997
iris_6th,True,full,5,sym,3,False,0.470892377886447,0.75573434066433,54.412840843200684,-5.15625,0.013123839999999998
iris_6th,True,full,5,rw,3,False,0.4890593483867099,0.8817446785105328,56.70710825920105,4.25,0.014576896000000339
iris_6th,True,full,5,ad,3,False,0.4392556076271311,0.77822716136876,44.9743869304657,-0.15625,0.009292288000000148
iris_6th,True,eps,1.143,sym,3,False,0.07929504529031305,0.2772529460912712,40.11472201347351,0.046875,0.009531391999999528
iris_6th,True,eps,1.143,rw,3,False,0.07929504529031305,0.2772529460912712,38.2983717918396,0.03125,0.008792960000000072
iris_6th,True,eps,1.143,ad,3,False,0.08522429139286186,0.25264513239657393,34.970861196517944,0.03125,0.008633856000000328
iris_6th,True,knn,14,sym,3,False,0.48436864255116946,0.8281504232252875,8.87029218673706,0.03125,0.0063388160000004135
iris_6th,True,knn,14,rw,3,False,0.48995303490499553,0.6852362096965494,9.565824031829834,0.046875,0.006003968000000359
iris_6th,True,knn,14,ad,3,False,0.4587376431219562,0.8293296140647078,7.980961084365845,0.0,0.006008704000000087
iris_6th,True,mknn,16,sym,3,False,0.4857395540523787,0.940300152464226,6.82433819770813,0.0,0.005198592000000168
iris_6th,True,mknn,16,rw,3,False,0.5005957002955111,0.6040898607050106,9.021652221679688,0.0,0.006741504000000287
iris_6th,True,mknn,16,ad,3,False,0.43001977744237413,0.6981782580230524,7.999377965927124,0.0,0.006013183999999505
