node_label,is_feature_based,graph_type,parameter,laplacian_type,number_of_eigenvectors,use_kmean_for_silhouette,silhouette_score,rand_index,total_time,affinity_time,laplacian_time,clustering_time,adjusted_rand_index_time,memory_used,cpu_used
iris_33,True,full,5,sym,3,False,0.518458550940038,0.5806451612903226,4557.148875,1463.495792,436.033,2439.190167,215.135917,-188.104704,28.85
iris_33,True,full,5,rw,3,False,0.5142268444868442,0.8236968050704954,2723.959834,293.759,330.249958,1874.588,224.918917,153.698304,13.95
iris_33,True,full,5,ad,3,False,0.509421546992658,0.6656318716854224,2414.818125,219.303709,270.659291,1707.949917,216.203583,-73.56416,13.45
iris_33,True,eps,1.138,sym,3,False,0.2707105116698875,0.1529423479040128,2218.128375,196.761291,257.615416,1533.697792,229.501208,-90.800128,13.85
iris_33,True,eps,1.138,rw,3,False,0.12296114471630894,0.2767667303326246,2132.39225,173.093584,224.177625,1510.477375,224.176875,177.635328,14.2
iris_33,True,eps,1.138,ad,3,False,0.2707105116698875,0.1529423479040128,2305.485292,172.6685,203.786834,1699.19775,229.065041,-103.514112,14.35
iris_33,True,knn,8,sym,3,False,0.4813444036156274,0.6900050735667174,2093.666083,135.160291,180.943458,1561.521167,215.377083,141.410304,24.0
iris_33,True,knn,8,rw,3,False,0.32280490728849487,0.5508873047171242,2068.804709,99.795208,145.52375,1599.167375,223.903208,-66.568192,17.6
iris_33,True,knn,8,ad,3,False,0.4813444036156274,0.6900050735667174,1945.594792,104.20375,141.353667,1473.424042,225.970875,-18.825216,12.3
iris_33,True,mknn,6,sym,3,False,0.632815648926268,0.5607476635514019,1911.287125,100.628875,128.889875,1454.350625,226.946667,45.400064,37.0
iris_33,True,mknn,6,rw,3,False,0.15917107120906868,0.41349560930519186,1922.276125,97.078958,128.003875,1474.112791,222.144084,-38.58432,11.35
iris_33,True,mknn,6,ad,3,False,0.26486829645327953,0.6278303300089886,1909.612791,87.900875,139.179208,1459.210375,222.8005,-15.23712,10.65
iris_66,True,full,5,sym,3,False,0.4762700219956754,0.7847621932747653,3782.138666,348.722667,525.332416,2679.983209,227.586583,-44.204032,12.95
iris_66,True,full,5,rw,3,False,0.3727202064129596,0.8295059151009047,4467.703375,606.428083,960.520125,2680.969459,219.265292,84.3776,13.3
iris_66,True,full,5,ad,3,False,0.4456426254972349,0.8023496428809826,4510.792625,629.76,961.996542,2694.06275,224.6275,0.180224,14.15
iris_66,True,eps,0.904,sym,3,False,0.2776305431692922,0.6525276056469272,3821.716125,456.589875,774.313,2364.099459,226.127875,-3.620864,12.15
iris_66,True,eps,0.904,rw,3,False,0.17752876732964606,0.9087069929201342,3906.038083,449.31625,750.276209,2492.795333,213.095167,35.258368,18.55
iris_66,True,eps,0.904,ad,3,False,0.26349889786291825,0.4602426944493671,3653.215084,442.044125,395.777291,2589.793875,225.295209,-127.336448,25.7
iris_66,True,knn,16,sym,3,False,0.4831632661866875,0.9695393119805663,3266.659792,179.750625,294.261458,2574.423541,217.902625,-320.913408,16.9
iris_66,True,knn,16,rw,3,False,0.18871972591552785,0.4904615844991397,3401.885125,185.165959,274.595792,2719.304875,222.24425,193.511424,13.2
iris_66,True,knn,16,ad,3,False,0.12346055761918102,0.5663716814159292,3367.148083,184.203791,292.971625,2663.387,226.025625,-51.314688,10.2
iris_66,True,mknn,15,sym,3,False,0.4956357884103086,0.8840635017554571,3155.292,164.363375,226.459917,2542.705375,221.149375,-78.6432,9.35
iris_66,True,mknn,15,rw,3,False,0.504518865049383,0.7847621932747653,3221.849542,160.3725,232.19725,2612.298458,216.406917,41.172992,12.55
iris_66,True,mknn,15,ad,3,False,0.4052579134669107,0.6379118671935577,2985.459042,157.663083,223.461708,2379.888917,224.017583,-64.14336,10.3
iris_full,True,full,11,sym,3,False,0.5055000468668748,0.7880443567941549,7402.631667,1836.531708,1496.210083,3837.966792,231.336583,175.079424,15.6
iris_full,True,full,11,rw,3,False,0.4797334464081528,0.8647830351074957,8944.513833,1828.87475,3543.714292,3345.420625,225.943584,-150.667264,16.25
iris_full,True,full,11,ad,3,False,0.46741633379813663,0.9204024125176882,7327.446208,358.031458,3403.188375,3340.888709,224.983625,3.2768,66.95
iris_full,True,eps,1.111,sym,3,False,0.08979073440622296,0.23236809379996445,4472.434875,311.863875,1549.997958,2391.432916,218.567042,79.70816,17.9
iris_full,True,eps,1.111,rw,3,False,0.21218090091931202,0.6527912692219905,6464.138041,299.446917,3138.748292,2800.270667,225.148,-15.941632,11.6
iris_full,True,eps,1.111,ad,3,False,0.0886029251500464,0.244822463662579,7171.089084,1563.256917,3045.11,2346.64275,215.478292,-79.331328,15.3
iris_full,True,knn,10,sym,3,False,0.47514077006743444,0.97993200471804,4347.853916,227.576166,417.988,3480.271875,221.523125,209.846272,13.7
iris_full,True,knn,10,rw,3,False,0.492123523156286,0.40117429118653647,4179.544542,232.633708,414.502542,3318.422959,213.417416,-222.232576,10.85
iris_full,True,knn,10,ad,3,False,0.47514077006743427,0.97993200471804,4223.789416,220.668208,432.169791,3342.971958,227.660833,144.474112,12.25
iris_full,True,mknn,30,sym,3,False,0.506643901136835,0.5806226037796237,4561.887292,378.823,731.824,3226.995625,223.596459,-38.862848,12.5
iris_full,True,mknn,30,rw,3,False,0.4988145232282682,0.7368687823578868,5929.084292,389.412958,753.33175,4561.773833,224.033084,261.718016,22.1
iris_full,True,mknn,30,ad,3,False,0.47851853903298197,0.9406150828466999,4961.730917,211.605958,1077.26325,3447.68425,224.81675,-300.990464,15.7
