graph,laplacian,silhouette,adjusted_rand,number_of_clusters,hyperparameters,cluster_labels,graph_laplacian
full,sym,0.48928480710696065,0.6599910327305335,3,local_sigma=9,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 1 1 1
 1 1 1 1 1 1 0 1 1 1 1 1 0]",full_sym
full,rw,0.48928480710696065,0.6599910327305335,3,local_sigma=9,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 1 1 1
 1 1 1 1 1 1 0 1 1 1 1 1 0]",full_rw
full,ad,0.48928480710696065,0.6599910327305335,3,local_sigma=9,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 1 1 1
 1 1 1 1 1 1 0 1 1 1 1 1 0]",full_ad
eps,sym,0.37820374241599386,0.39288527172486215,3,epsilon=1.141,"[1 2 1 1 2 2 0 1 1 2 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 0 0 0]",eps_sym
eps,rw,0.04896939968887793,0.17212289095945604,3,epsilon=1.141,"[0 2 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 1 1 2 0 1 1 0 1 1 0 1 0 0]",eps_rw
eps,ad,0.37820374241599386,0.39288527172486215,3,epsilon=1.141,"[2 0 2 2 0 0 1 2 2 0 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 1 1 1 1 1 1]",eps_ad
knn,sym,0.4923556818564516,0.7377491383185973,3,k_nn=20,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 2
 2 2 2 2 2 2 1 2 2 2 2 2 1]",knn_sym
knn,rw,0.4923556818564516,0.7377491383185973,3,k_nn=20,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 2
 2 2 2 2 2 2 1 2 2 2 2 2 1]",knn_rw
knn,ad,0.4923556818564516,0.7377491383185973,3,k_nn=20,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 2
 2 2 2 2 2 2 1 2 2 2 2 2 1]",knn_ad
mknn,sym,0.4833636663805111,0.7373949579831933,3,k_mknn=24,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 1]",mknn_sym
mknn,rw,0.49226523717356374,0.697354655507398,3,k_mknn=24,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 2
 2 2 2 1 2 2 1 2 2 2 2 2 1]",mknn_rw
mknn,ad,0.4845828263235656,0.6965382886258055,3,k_mknn=24,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 1 1
 1 1 1 1 1 1 0 1 1 1 1 1 0]",mknn_ad
