Index,sepal_length,sepal_width,petal_length,petal_width,target
0,0.0,0.417,0.017,0.0,0
1,0.222,0.583,0.085,0.042,0
2,0.139,0.458,0.102,0.042,0
3,0.139,0.417,0.068,0.083,0
4,0.222,0.625,0.068,0.083,0
5,0.278,0.708,0.085,0.042,0
6,0.194,0.583,0.102,0.125,0
7,0.194,0.417,0.102,0.042,0
8,0.25,0.875,0.085,0.0,0
9,0.222,0.75,0.085,0.083,0
10,0.139,0.417,0.068,0.0,0
11,0.194,0.667,0.068,0.042,0
12,0.167,0.667,0.068,0.0,0
13,0.028,0.375,0.068,0.042,0
14,0.083,0.458,0.085,0.042,0
15,0.083,0.583,0.068,0.083,0
16,0.5,0.375,0.627,0.542,1
17,0.333,0.208,0.508,0.5,1
18,0.333,0.167,0.475,0.417,1
19,0.389,0.417,0.542,0.458,1
20,0.417,0.292,0.525,0.375,1
21,0.222,0.208,0.339,0.417,1
22,0.694,0.333,0.644,0.542,1
23,0.639,0.417,0.576,0.542,1
24,0.417,0.292,0.492,0.458,1
25,0.361,0.208,0.492,0.417,1
26,0.472,0.083,0.508,0.375,1
27,0.611,0.333,0.61,0.583,1
28,0.556,0.125,0.576,0.5,1
29,0.639,0.375,0.61,0.5,1
30,0.333,0.125,0.508,0.5,1
31,0.556,0.542,0.627,0.625,1
32,0.389,0.208,0.678,0.792,2
33,0.722,0.458,0.746,0.833,2
34,0.861,0.333,0.864,0.75,2
35,0.667,0.417,0.712,0.917,2
36,0.944,0.75,0.966,0.875,2
37,0.528,0.583,0.746,0.917,2
38,0.528,0.333,0.644,0.708,2
39,0.806,0.5,0.847,0.708,2
40,0.583,0.333,0.78,0.875,2
41,0.472,0.083,0.678,0.583,2
42,0.694,0.417,0.763,0.833,2
43,0.611,0.417,0.814,0.875,2
44,0.583,0.458,0.763,0.708,2
45,0.667,0.208,0.814,0.708,2
46,0.556,0.375,0.78,0.708,2
47,0.167,0.208,0.593,0.667,2
