graph,laplacian,silhouette,adjusted_rand,number_of_clusters,hyperparameters,cluster_labels,graph_laplacian
full,sym,0.4946755574073279,0.806708883731148,3,local_sigma=5,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1]",full_sym
full,rw,0.4946755574073279,0.806708883731148,3,local_sigma=5,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 2 2 2 2 2 2 2
 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 2 0 2 2 2 2]",full_rw
full,ad,0.4927486832997549,0.8572547446440681,3,local_sigma=5,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 0 0 0 0 0 0 0 0
 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0]",full_ad
eps,sym,0.25876036474456116,0.48766474214880656,3,epsilon=1.112,"[0 2 2 2 2 2 2 2 0 2 2 2 0 0 2 2 0 2 2 0 2 2 2 2 2 2 2 2 0 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 1 0 1
 1 2 1 1 2 1 2 0 1 2 2 1 1 2 1 0 1 1 1 0 0 1 1 2 1]",eps_sym
eps,rw,0.25876036474456116,0.48766474214880656,3,epsilon=1.112,"[0 2 2 2 2 2 2 2 0 2 2 2 0 0 2 2 0 2 2 0 2 2 2 2 2 2 2 2 0 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 1 0 1
 1 2 1 1 2 1 2 0 1 2 2 1 1 2 1 0 1 1 1 0 0 1 1 2 1]",eps_rw
eps,ad,0.20657349401469913,0.40027333039243673,3,epsilon=1.112,"[0 2 2 2 2 2 2 2 0 2 2 2 0 0 2 2 0 2 2 0 2 2 2 2 2 2 2 2 0 2 2 2 2 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1
 1 2 1 1 2 1 2 1 1 2 2 1 1 2 1 1 1 1 1 1 1 1 1 2 1]",eps_ad
knn,sym,0.4969039123648791,0.8072097476397794,3,k_nn=16,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1]",knn_sym
knn,rw,0.4969039123648791,0.8072097476397794,3,k_nn=16,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1]",knn_rw
knn,ad,0.4969039123648791,0.8072097476397794,3,k_nn=16,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1]",knn_ad
mknn,sym,0.4969039123648791,0.8072097476397794,3,k_mknn=15,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1]",mknn_sym
mknn,rw,0.504518859771603,0.7847621932747653,3,k_mknn=15,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1
 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1]",mknn_rw
mknn,ad,0.4543390085517641,0.7281171779082716,3,k_mknn=15,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 0 2 2 2 2 2 2 2 2 0 2 2 2 0 2 2 2 2 2 0 2 0 0 2 2 2 0 0 0 0 0 0 0 0 0
 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",mknn_ad
