source_id,target_id
0,1859
0,8037
0,9319
0,9538
1,4314
2,2098
2,2939
2,3666
2,5309
2,5938
2,8195
2,8391
2,8563
2,8795
2,9753
2,12505
2,12677
3,3819
3,6831
3,8556
3,10798
4,1018
4,1527
4,4575
4,5180
4,6463
4,7123
4,7474
4,7924
4,8483
4,8984
4,9046
4,9217
4,9526
4,10260
4,11851
4,11892
4,12175
4,12572
5,1646
5,7350
5,10096
5,11356
6,135
6,1538
6,2011
6,5898
6,7020
6,8873
6,10072
6,10406
6,11397
6,11796
7,118
7,3399
7,12599
8,1714
8,3643
8,4139
8,5762
8,6505
8,7447
8,7599
8,9326
8,12551
9,10263
10,4263
11,135
11,5772
11,10406
11,11447
12,12225
13,863
13,935
13,4411
13,4905
14,4122
14,5709
14,6506
14,10391
14,12106
15,1456
15,1804
15,3125
15,3376
15,4083
15,7447
15,8622
15,12169
15,12365
15,12532
16,1168
17,6427
17,11083
18,3329
18,4556
18,8672
18,9112
19,9038
20,344
20,346
20,1045
20,1083
20,1101
20,1211
20,1257
20,1299
20,1301
20,1519
20,2513
20,2611
20,2633
20,2742
20,3251
20,3556
20,3570
20,3826
20,3864
20,4239
20,4273
20,4357
20,4386
20,4823
20,5031
20,5398
20,5638
20,5936
20,5986
20,7988
20,8490
20,9240
20,9442
20,9855
20,10053
20,10103
20,10315
20,10616
20,10710
20,11395
20,11826
20,12194
20,12442
20,12655
20,12838
21,2258
21,2587
21,10063
21,12785
22,9304
23,3013
24,2687
25,9136
26,3093
26,9410
27,8672
28,215
28,392
28,718
28,5373
28,7074
28,10455
29,10647
30,1137
30,12542
31,241
31,11185
32,1824
32,2420
32,4299
32,4673
33,751
34,1722
34,5795
34,6228
34,7733
34,10280
34,11095
35,1421
36,2531
36,4042
36,11341
36,11778
37,2553
38,9448
39,5483
39,11447
40,7218
41,3710
41,6760
41,9630
42,2831
43,347
43,1452
43,2329
43,4743
43,4970
43,5830
43,5970
43,6447
43,7225
43,7345
43,7792
43,8128
43,8228
43,9804
43,9812
43,9839
43,10476
43,10546
44,2428
44,6246
44,6377
44,7245
44,8393
44,9543
44,10228
44,11434
45,7837
46,4021
47,94
47,3086
47,4068
47,4228
47,4976
47,5303
47,6834
47,6924
47,7499
47,7883
47,8252
47,8580
47,9267
47,10678
47,10762
47,10790
47,10897
47,11059
47,11616
47,11799
47,12785
48,4220
48,4763
48,12737
49,1341
49,1495
49,5240
49,7737
49,12542
50,231
50,635
50,2335
50,2402
50,4870
50,10484
51,2246
51,3407
51,9736
52,1694
52,3519
52,8031
52,10793
53,5394
54,4985
54,12457
55,260
55,1190
55,1464
55,1957
55,2501
55,2919
55,3078
55,4609
55,5884
55,6012
55,6842
55,6854
55,7939
55,9345
55,9358
55,10367
55,10867
55,12683
55,12729
56,1495
56,5926
56,7352
56,7737
56,8711
56,9368
57,6931
57,11561
58,2207
58,5573
58,6214
59,2922
59,10947
59,11255
59,12204
60,1993
60,5024
60,10196
61,3218
62,3687
62,7320
62,7987
62,9640
62,12203
63,9538
63,10512
64,7625
65,9417
65,9618
65,12428
66,2680
66,4861
66,7928
66,9109
67,11358
68,5491
68,12125
69,519
69,862
69,4850
69,12800
70,8831
71,6991
72,612
72,808
72,818
72,939
72,2069
72,2122
72,2164
72,2749
72,2904
72,3018
72,3688
72,4368
72,5429
72,6093
72,6572
72,7018
72,7297
72,8065
72,8382
72,9389
72,9674
72,10298
72,10793
72,11313
72,11847
72,11996
72,12008
72,12097
72,12816
73,242
73,404
73,1803
73,2379
73,3528
73,9338
73,10769
73,12613
74,3362
74,5849
75,4840
76,978
76,6256
77,8853
77,9948
77,11693
78,2015
78,9179
79,1383
80,7618
81,1623
82,290
82,1713
82,10188
82,10426
83,4181
84,5099
84,8702
84,11716
84,12395
85,3961
86,12670
87,2345
88,10457
89,1347
89,2541
89,11241
89,12682
90,1226
90,1928
90,2429
90,6838
90,7559
90,7601
91,738
91,12421
92,481
92,3413
92,4609
92,5179
92,5216
92,5221
92,5425
92,5679
92,6925
92,9078
92,11599
93,7921
94,47
94,2258
94,3023
94,3201
94,4228
94,4976
94,10063
94,12785
95,12402
96,242
96,816
96,1671
96,2379
96,3318
96,3645
96,4252
96,4778
96,8911
96,9338
96,10737
96,11053
96,11597
96,11899
96,12812
97,8320
98,1252
99,745
99,1869
99,1896
99,2349
99,4005
99,5311
99,6506
99,9112
99,10475
99,11332
100,4153
100,4733
100,5995
100,12079
101,6841
101,6940
101,12547
102,5218
103,2938
104,2359
104,4004
104,4575
104,5705
104,6685
104,7273
104,7427
104,7553
104,9439
104,9977
104,10246
104,11371
104,11432
104,11757
104,12489
105,1551
106,2740
106,5293
106,9994
106,11055
107,2066
108,4199
108,6239
108,7731
108,9020
108,11582
109,1314
110,2680
110,6310
110,12787
111,6884
112,2868
112,3129
112,5212
112,5338
112,7542
112,8381
112,12248
113,2642
113,4203
114,5023
114,6159
114,9422
114,10555
114,12512
114,12782
115,6916
115,6984
115,9498
116,7267
117,520
117,872
117,2378
117,2756
117,3120
117,4535
117,5534
117,5833
117,5899
117,5947
117,6345
117,6413
117,9045
117,9337
117,11694
117,12439
118,7
118,243
118,966
118,1021
118,1058
118,1262
118,1490
118,1565
118,2101
118,2187
118,2370
118,2471
118,2802
118,2857
118,3506
118,3565
118,3699
118,3737
118,3852
118,3937
118,3946
118,4221
118,4317
118,4447
118,4474
118,4490
118,4586
118,4725
118,4886
118,5358
118,5365
118,5572
118,5697
118,5774
118,5848
118,5901
118,5928
118,6013
118,6049
118,6164
118,6205
118,6210
118,6570
118,6582
118,6797
118,6863
118,7053
118,7158
118,7274
118,7567
118,7662
118,7812
118,8078
118,8398
118,8677
118,8838
118,8886
118,9019
118,9047
118,9130
118,9159
118,9219
118,9349
118,9571
118,9891
118,10537
118,10607
118,10659
118,10687
118,10959
118,11050
118,11175
118,11610
118,11843
118,11915
118,11992
118,12208
118,12209
118,12272
118,12512
118,12541
118,12571
118,12730
119,2083
120,2518
121,1667
121,4911
121,7132
122,629
122,3075
122,4052
122,4969
122,5176
122,6149
122,8288
122,10731
122,11184
122,11947
123,9307
124,10603
125,4513
125,7221
126,382
126,1824
126,2251
126,3054
126,3618
126,4299
126,5503
126,6144
126,7190
126,7723
126,7958
126,8314
126,10280
126,11659
126,11911
126,12410
127,6027
128,858
128,1538
128,5483
128,10406
128,12399
129,10154
130,7072
131,6865
132,2011
133,470
133,1488
133,1977
133,3961
133,7681
133,10588
133,11454
134,3203
134,4240
134,5402
134,6509
134,7920
134,9539
135,6
135,11
135,212
135,252
135,311
135,921
135,1599
135,1822
135,1882
135,2175
135,3080
135,3117
135,3793
135,4651
135,4720
135,5622
135,5788
135,6628
135,6777
135,7477
135,7687
135,7891
135,8792
135,8851
135,9956
135,10507
135,10672
135,10863
135,10908
135,11268
135,11844
135,12070
135,12343
135,12455
136,5462
137,10693
138,11241
139,812
139,3026
139,3154
139,6814
139,10955
139,10980
139,11790
139,12004
139,12590
140,3973
141,385
141,828
141,2613
141,3103
141,3194
141,3612
141,5303
141,7428
141,9805
141,10762
141,12238
141,12572
142,5541
143,9344
143,12633
144,5541
145,6273
146,12003
147,8507
147,9966
147,12853
148,4111
149,8831
150,427
150,1042
150,1507
150,1835
150,4204
150,5089
150,8590
150,11115
150,11216
150,11397
151,12331
