source_id,target_id
0,942
0,3948
0,4647
1,1052
1,1811
1,2583
1,2918
1,4020
1,4103
1,4774
1,6138
2,774
2,2244
2,3507
2,3671
2,4394
2,4507
2,4642
2,5829
2,5985
2,6175
3,841
3,3611
3,4954
3,5595
4,1240
4,4983
5,5042
6,59
6,2828
6,5114
6,5634
7,598
7,741
7,914
7,1543
7,1671
7,1791
7,2009
7,3210
7,3348
7,3659
7,3719
7,4042
7,4223
7,4497
7,5955
7,5979
7,6069
7,6157
8,153
8,514
8,547
8,602
8,626
8,649
8,651
8,768
8,852
8,1297
8,1354
8,1771
8,1878
8,1899
8,2098
8,2138
8,2148
8,2358
8,2641
8,2917
8,2942
8,4150
8,4607
8,4828
8,4932
8,5068
8,5212
8,5262
8,5816
8,5997
9,176
9,345
9,3481
10,5229
11,2473
12,924
12,1199
12,2113
12,2289
13,361
14,2314
14,5028
15,183
15,1181
16,1255
16,1991
16,5590
16,5787
17,3595
18,1610
19,1203
20,3841
21,35
21,1523
21,2005
21,2077
21,2421
21,2581
21,3371
21,3412
21,3684
21,3863
21,4046
21,4203
21,4525
21,5244
21,5298
21,5317
21,5374
21,5456
21,5803
21,6278
22,673
22,2543
22,3794
22,6161
23,1119
23,1687
23,4762
24,1739
24,3941
24,5322
25,110
25,590
25,744
25,980
25,1240
25,1438
25,1517
25,2256
25,3374
25,3893
25,5096
25,6253
26,2913
26,3612
26,3794
26,4275
26,4570
27,746
27,1994
27,5248
28,4647
28,5160
29,395
29,1068
29,1088
29,1359
29,1484
29,1825
29,2661
29,3006
29,3256
29,3460
29,3588
29,3960
29,4099
29,4578
29,4727
29,5322
29,5826
29,6290
30,183
30,913
30,1181
30,1745
30,4556
30,5301
31,1663
31,2877
32,3733
33,4271
33,5748
33,6088
34,3710
35,21
35,1123
35,1490
35,1589
35,2077
35,2421
35,4936
35,6278
36,6092
37,394
37,1181
37,1643
37,2086
37,2336
37,4364
37,4556
37,5454
37,5693
37,5857
37,6289
38,3028
39,4462
40,1446
41,290
41,1970
41,2244
41,2806
41,3571
41,4890
41,5769
41,6132
42,1439
42,4899
42,4901
42,5398
43,2062
43,3086
43,3789
43,4414
44,161
44,4998
44,5059
45,1325
45,3123
45,6280
46,1417
46,1546
46,2051
46,2534
46,2605
46,3703
46,4098
46,6024
47,3064
47,4599
48,3408
48,3441
49,3568
50,238
50,378
50,1365
50,2222
50,2920
50,3142
50,3172
50,3541
50,4555
50,5734
51,629
51,1176
51,1895
51,2616
51,3572
51,3968
51,4257
51,4350
51,5208
51,5453
51,6004
52,2681
53,2762
54,1747
54,1995
54,2420
54,2519
54,2785
54,3321
54,4398
54,5224
54,5271
54,5275
55,420
55,783
55,2686
55,5114
55,6090
56,4982
57,3383
58,212
58,754
58,993
58,1945
58,3764
58,5197
58,5637
59,6
59,450
59,922
59,4701
59,5157
59,5238
60,5251
61,391
61,542
61,731
61,1368
61,1492
61,1561
61,1835
61,2202
61,2937
61,2971
61,3361
61,5406
61,5419
61,5794
61,5902
61,6184
62,1531
62,2581
62,3653
62,4804
62,5298
62,6020
62,6175
63,4940
64,4159
64,4885
65,5255
66,194
66,510
66,762
66,932
66,2481
66,5484
66,5540
66,5612
67,3069
67,4271
67,5681
67,5802
68,185
68,348
68,398
68,1400
68,3008
68,3591
68,5093
68,5717
68,5871
69,2538
70,1101
70,1785
70,6140
70,6270
71,419
71,1723
71,3237
71,3622
71,4479
71,5962
72,2404
73,99
73,221
73,358
73,565
73,1313
73,3248
73,3325
73,3620
73,4384
73,5145
73,6270
74,517
74,871
74,1244
74,3069
74,3086
74,3622
74,3927
74,4414
74,6208
75,2419
75,2838
75,3322
75,4952
75,5593
76,679
76,1885
76,2267
76,2702
76,2742
76,3232
76,3516
76,3536
76,4025
76,4419
76,4752
76,4829
76,5211
77,271
77,700
77,1157
77,1518
77,2016
77,2076
77,3721
77,4101
77,4607
77,5501
77,5523
77,5524
78,131
78,548
78,4009
78,4153
78,4414
78,5804
78,6157
79,256
79,3116
80,5255
81,176
81,4468
81,4798
81,4852
82,2232
82,5028
82,5532
82,5951
83,1481
84,4865
85,287
85,602
85,699
85,764
85,1604
85,1923
85,2633
85,3355
85,3732
85,3960
85,4912
85,5489
85,5527
85,5562
85,5601
85,6029
85,6113
86,3730
87,2893
88,1330
88,1410
88,2637
88,3587
88,4025
88,4436
88,5211
88,5899
89,5103
90,881
90,1995
90,2038
90,2627
90,3735
90,5512
90,5835
91,1254
91,1743
91,1864
91,2256
91,2319
91,3372
91,4726
91,4924
91,4983
91,5298
91,5475
91,5545
92,2257
92,2656
93,292
93,907
93,1233
93,1307
93,2321
93,2934
93,3170
93,3899
93,4543
93,5850
94,183
94,238
94,277
94,394
94,530
94,627
94,690
94,913
94,1093
94,1152
94,1181
94,1286
94,1549
94,1823
94,1886
94,2032
94,2229
94,2569
94,2966
94,3420
94,3608
94,3738
94,3882
94,3952
94,4266
94,4401
94,4418
94,4717
94,5093
94,5304
94,5693
94,5716
94,5809
94,5824
94,5857
94,5871
94,5894
94,5949
94,6289
95,183
95,2411
95,5607
96,2495
96,2544
96,3307
96,3901
96,5612
96,5799
97,99
97,431
97,459
97,497
97,638
97,724
97,881
97,1035
97,1096
97,1313
97,1962
97,2608
97,2879
97,2908
97,2994
97,3376
97,3620
97,4163
97,4348
97,4477
97,4509
97,4938
97,5039
97,5106
97,5321
97,5567
97,6107
98,112
98,666
98,1922
98,2065
98,2963
98,3207
98,5465
98,5694
98,5730
99,73
99,97
99,565
99,1098
99,1253
99,1760
99,1854
99,2880
99,3582
99,3635
99,4373
99,5757
99,5940
99,6117
99,6276
100,4803
101,2523
101,3389
102,3831
103,341
103,3625
103,3732
103,3813
103,4188
103,5143
104,665
104,1502
104,2326
104,3239
104,3899
104,5169
104,5750
105,1270
105,2383
105,3680
105,5817
106,2895
106,3417
107,1992
108,898
108,4394
109,307
109,341
109,354
109,1594
109,1923
109,2261
109,2921
109,3081
109,3354
109,3785
109,5414
109,5991
109,6292
110,25
110,1438
110,3433
110,4983
