graph,laplacian,silhouette,adjusted_rand,number_of_clusters,hyperparameters,cluster_labels,graph_laplacian
full,sym,0.008376202623667681,0.022006499030558,3,local_sigma=33,[1 1 2 ... 1 1 2],full_sym
full,rw,0.008377182042005762,0.022071685856131555,3,local_sigma=33,[1 1 2 ... 1 1 2],full_rw
full,ad,0.00836510058081418,0.022699457922670013,3,local_sigma=33,[0 0 1 ... 0 0 1],full_ad
eps,sym,0.008753936522544793,0.01796076821890725,3,epsilon=4.669,[1 0 2 ... 1 0 2],eps_sym
eps,rw,0.010379950572985876,0.000578518791410589,3,epsilon=4.669,[0 2 0 ... 0 2 0],eps_rw
eps,ad,0.008988793662109728,0.015848701997513724,3,epsilon=4.669,[1 0 2 ... 1 0 2],eps_ad
knn,sym,0.008304375099610708,0.023726727181114182,3,k_nn=271,[2 2 0 ... 1 2 2],knn_sym
knn,rw,0.008304375099610708,0.023726727181114182,3,k_nn=271,[2 2 0 ... 1 2 2],knn_rw
knn,ad,0.008304375099610708,0.023726727181114182,3,k_nn=271,[2 2 0 ... 1 2 2],knn_ad
mknn,sym,0.00855471071714487,0.025311689064450908,3,k_mknn=77,[2 0 2 ... 0 0 2],mknn_sym
mknn,rw,0.008592587591810225,0.023477779389086528,3,k_mknn=77,[1 1 0 ... 1 1 0],mknn_rw
mknn,ad,-0.006420919304686284,0.00039239206454607625,3,k_mknn=77,[0 0 0 ... 1 1 0],mknn_ad
