node_label,is_feature_based,graph_type,parameter,laplacian_type,number_of_eigenvectors,use_kmean_for_silhouette,silhouette_score,rand_index,total_time,affinity_time,laplacian_time,clustering_time,adjusted_rand_index_time,memory_used,cpu_used
madelon_66,True,full,33,sym,2,False,0.01097172906627428,0.9200323990515031,11236400.154916,48319.491958,10659360.593792,528278.89975,438.781875,165.888,12.899999999999999
madelon_66,True,full,33,rw,2,False,0.01103436279420762,0.8714716730086772,13221426.579791,56689.322958,12604134.02725,560139.751417,462.799042,-247.136256,8.4
madelon_66,True,full,33,ad,2,False,0.010964869289774675,0.9267562714986911,11250425.917625,59388.082333,10651271.773417,539369.5315,396.049791,179.027968,8.55
madelon_66,True,eps,4.669,sym,2,False,0.013676435669104243,0.25318061435941114,11267494.872542,43806.607542,10670748.867333,552518.090542,420.678667,-143.85152,9.55
madelon_66,True,eps,4.669,rw,2,False,0.01282612554104493,0.3218472098898398,12261740.971083,56767.254291,11244791.916792,959739.782417,441.315125,1823.834112,8.7
madelon_66,True,eps,4.669,ad,2,False,0.014389140605454362,0.20417311551347014,19355757.888667,93479.804625,18219238.417083,1042566.340292,472.721125,-2950.168576,8.1
madelon_66,True,knn,271,sym,2,False,0.010890017072558811,0.7619232329164155,4361245.652417,54848.733291,3798540.269541,507459.644541,394.982334,1805.729792,15.9
madelon_66,True,knn,271,rw,2,False,0.009045279425879247,0.47901491980861777,3608529.838708,32713.722667,2991961.61075,583326.588708,527.219625,-1347.141632,58.9
madelon_66,True,knn,271,ad,2,False,0.010425594250510822,0.9267562714986911,3672395.5985,33968.930792,3016354.744,621608.3115,463.084417,840.187904,10.2
madelon_66,True,mknn,77,sym,2,False,0.0009440307777265526,0.986054757221533,946083.251834,30723.209208,354866.540042,560094.451375,398.525167,-730.23488,10.55
madelon_66,True,mknn,77,rw,2,False,0.03041978553821932,2.7183774461835777e-06,1131441.206,31493.102417,352817.291708,746660.559916,469.57075,-318.01344,11.25
madelon_66,True,mknn,77,ad,2,False,-0.008839248976422354,0.42569755979579255,1758329.168208,52241.664875,610359.430166,1094773.515917,954.094667,53.886976,35.55
