graph,laplacian,silhouette,adjusted_rand,number_of_clusters,hyperparameters,cluster_labels,graph_laplacian
full,sym,-0.005814468540509993,0.1532665468377042,3,local_sigma=21,[1 1 1 ... 1 1 0],full_sym
full,rw,-0.005972169564439328,0.13738208802693358,3,local_sigma=21,[0 0 0 ... 0 0 2],full_rw
full,ad,-0.0038713223661578137,0.27456557216817384,3,local_sigma=21,[0 0 0 ... 0 0 2],full_ad
eps,sym,0.004458982493925418,0.44571773198700043,3,epsilon=1.396,[0 1 1 ... 0 0 0],eps_sym
eps,rw,0.004458982493925418,0.44571773198700043,3,epsilon=1.396,[0 1 1 ... 0 0 0],eps_rw
eps,ad,0.004458982493925418,0.44571773198700043,3,epsilon=1.396,[0 1 1 ... 0 0 0],eps_ad
knn,sym,-0.00014098437187427817,0.6546888967469056,3,k_nn=45,[2 1 2 ... 0 1 0],knn_sym
knn,rw,-0.00014098437187427817,0.6546888967469056,3,k_nn=45,[2 1 2 ... 0 1 0],knn_rw
knn,ad,-0.00014098437187427817,0.6546888967469056,3,k_nn=45,[2 1 2 ... 0 1 0],knn_ad
mknn,sym,-0.002159499013918048,0.6325922465543216,3,k_mknn=311,[1 1 1 ... 0 2 0],mknn_sym
mknn,rw,-0.0013858990215122155,0.636366201210823,3,k_mknn=311,[1 1 1 ... 0 2 0],mknn_rw
mknn,ad,-0.0014183199955806578,0.4311547210061831,3,k_mknn=311,[0 2 0 ... 2 2 1],mknn_ad
