graph,laplacian,silhouette,adjusted_rand,number_of_clusters,hyperparameters,cluster_labels,graph_laplacian
full,sym,-0.00303737571443379,0.18843418553282973,3,local_sigma=29,[1 1 0 ... 1 1 1],full_sym
full,rw,-0.0031955093247597265,0.16747568469997023,3,local_sigma=29,[0 0 2 ... 0 0 0],full_rw
full,ad,-0.0017725108609006552,0.30534811648256216,3,local_sigma=29,[2 0 2 ... 0 2 2],full_ad
eps,sym,-0.015987862695899305,-3.7200954371353026e-05,3,epsilon=1.397,[2 0 1 ... 2 0 0],eps_sym
eps,rw,-0.000640274073319918,3.553776150056521e-05,3,epsilon=1.397,[1 2 2 ... 1 1 1],eps_rw
eps,ad,-0.015987862695899305,-3.7200954371353026e-05,3,epsilon=1.397,[2 0 1 ... 2 0 0],eps_ad
knn,sym,0.0016807087859817618,0.6843556018208073,3,k_nn=62,[1 1 2 ... 1 0 0],knn_sym
knn,rw,0.0016807087859817618,0.6843556018208073,3,k_nn=62,[1 1 2 ... 1 0 0],knn_rw
knn,ad,0.0016807087859817618,0.6843556018208073,3,k_nn=62,[1 1 2 ... 1 0 0],knn_ad
mknn,sym,-0.00014862075767719607,0.6452292676448996,3,k_mknn=532,[0 0 2 ... 0 1 1],mknn_sym
mknn,rw,0.00022026125087189877,0.6552808983195205,3,k_mknn=532,[2 2 0 ... 2 1 1],mknn_rw
mknn,ad,-8.821312045273594e-05,0.4021008839431905,3,k_mknn=532,[0 2 0 ... 2 0 0],mknn_ad
